iter	Passed	Remaining
0	141	141149
1	142	71193
2	143	47850
3	145	36155
4	146	29192
5	147	24503
6	149	21158
7	150	18641
8	153	16892
9	154	15339
10	156	14090
11	158	13070
12	160	12178
13	161	11395
14	163	10716
15	164	10119
16	165	9594
17	167	9125
18	168	8704
19	169	8329
20	171	7993
21	172	7684
22	174	7400
23	175	7145
24	176	6900
25	178	6672
26	179	6467
27	180	6276
28	184	6184
29	186	6018
30	187	5861
31	189	5718
32	191	5601
33	192	5477
34	194	5357
35	195	5242
36	197	5132
37	198	5029
38	200	4931
39	201	4837
40	203	4749
41	204	4668
42	206	4584
43	207	4505
44	208	4428
45	209	4354
46	211	4282
47	214	4260
48	216	4197
49	217	4137
50	219	4084
51	221	4029
52	222	3972
53	223	3918
54	225	3867
55	226	3818
56	227	3770
57	229	3724
58	230	3680
59	232	3636
60	233	3595
61	235	3558
62	236	3519
63	238	3480
64	239	3443
65	240	3407
66	242	3373
67	243	3330
68	244	3298
69	245	3263
70	246	3229
71	248	3196
72	249	3164
73	250	3132
74	251	3102
75	253	3083
76	255	3059
77	256	3030
78	257	3003
79	258	2975
80	259	2949
81	261	2924
82	262	2898
83	263	2874
84	264	2844
85	265	2821
86	266	2794
87	270	2804
88	271	2782
89	273	2761
90	274	2743
91	275	2721
92	276	2700
93	278	2680
94	279	2660
95	280	2641
96	281	2622
97	284	2614
98	285	2601
99	287	2584
100	288	2568
101	289	2545
102	290	2529
103	291	2513
104	293	2498
105	294	2485
106	296	2470
107	298	2463
108	300	2455
109	301	2442
110	303	2429
111	309	2457
112	311	2444
113	317	2465
114	320	2469
115	322	2456
116	337	2548
117	339	2537
118	340	2521
119	341	2507
120	343	2494
121	346	2490
122	346	2474
123	348	2460
124	349	2445
125	350	2432
126	351	2418
127	352	2401
128	363	2456
129	365	2445
130	366	2434
131	368	2422
132	369	2411
133	371	2399
134	372	2387
135	373	2375
136	379	2390
137	380	2379
138	382	2369
139	384	2358
140	399	2433
141	400	2422
142	402	2411
143	403	2400
144	405	2389
145	406	2378
146	410	2379
147	411	2370
148	413	2362
149	415	2354
150	417	2346
151	419	2338
152	420	2328
153	424	2330
154	425	2321
155	427	2310
156	428	2299
157	429	2289
158	453	2396
159	456	2397
160	461	2406
161	462	2394
162	464	2383
163	465	2372
164	466	2361
165	467	2350
166	468	2339
167	470	2332
168	473	2327
169	474	2318
170	476	2308
171	477	2299
172	479	2290
173	480	2281
174	481	2272
175	483	2262
176	484	2253
177	485	2244
178	487	2235
179	488	2226
180	489	2213
181	490	2204
182	491	2194
183	492	2185
184	494	2176
185	495	2167
186	498	2166
187	500	2163
188	503	2158
189	504	2152
190	507	2150
191	509	2143
192	512	2142
193	513	2134
194	516	2133
195	518	2126
196	519	2118
197	520	2110
198	528	2127
199	529	2119
200	531	2113
201	533	2106
202	534	2099
203	536	2092
204	537	2085
205	540	2084
206	542	2077
207	543	2070
208	545	2063
209	546	2057
210	548	2050
211	550	2045
212	552	2039
213	553	2033
214	555	2026
215	556	2020
216	558	2013
217	559	2006
218	569	2032
219	571	2025
220	574	2025
221	576	2018
